CH1;CH2;PPG
124.620766;112.6229;589.56683
124.613396;112.61956;589.5645
124.62852;112.62171;589.56305
124.64797;112.62452;589.56104
124.65298;112.62435;589.5643
124.65746;112.614746;589.5595
124.63543;112.61193;589.55444
124.62901;112.614655;589.5523
124.64599;112.60948;589.5502
124.6469;112.61153;589.5529
124.64737;112.6193;589.5485
124.66047;112.61231;589.54535
124.63326;112.60604;589.54224
124.61779;112.61443;589.5337
124.61021;112.61677;589.5335
124.5847;112.61136;589.5314
124.59691;112.610794;589.5304
124.612686;112.62097;589.52673
124.59583;112.620636;589.5223
124.613716;112.61968;589.5184
124.632095;112.61458;589.5164
124.641106;112.62767;589.5166
124.62802;112.627716;589.51306
124.62716;112.63747;589.5126
124.63763;112.64347;589.5081
124.65379;112.644646;589.4991
124.63793;112.63971;589.4957
124.63369;112.63659;589.4935
124.67479;112.643715;589.49457
124.717636;112.6478;589.49457
124.72009;112.653656;589.4883
124.65851;112.65085;589.4894
124.52802;112.65609;589.48096
124.50957;112.667656;589.4803
124.60498;112.6683;589.4769
124.664825;112.658134;589.47174
124.69771;112.658646;589.46857
124.62937;112.65759;589.4694
124.611115;112.663124;589.4662
124.68867;112.67454;589.45953
124.69981;112.68076;589.4609
124.70011;112.70015;589.4547
124.71757;112.70229;589.452
124.702446;112.68923;589.45197
124.64638;112.696;589.4473
124.59402;112.69967;589.4391
124.63736;112.70742;589.43744
124.687546;112.70235;589.43634
124.70665;112.70561;589.4344
124.71914;112.726425;589.4324
124.7034;112.72886;589.4232
124.69487;112.72137;589.4209
124.684715;112.72406;589.42426
124.67205;112.7293;589.42285
124.68998;112.7417;589.4259
124.703;112.74795;589.4231
124.679115;112.7258;589.4289
124.666855;112.733505;589.4132
124.68629;112.75465;589.4003
124.69265;112.759514;589.3965
124.7345;112.77031;589.3919
124.701065;112.771866;589.3881
124.64693;112.77329;589.386
124.73085;112.79151;589.3839
124.79327;112.79267;589.38556
124.7745;112.79859;589.37933
124.74415;112.813515;589.37976
124.720924;112.81159;589.3785
124.75144;112.81273;589.37506
124.783676;112.83057;589.3667
124.758385;112.83314;589.37286
124.719574;112.8385;589.3774
124.71954;112.833206;589.36194
124.72918;112.838295;589.3594
124.744934;112.859;589.3602
124.77915;112.85347;589.3517
124.770905;112.84344;589.35315
124.74131;112.851524;589.3486
124.75595;112.856316;589.3494
124.776115;112.850845;589.3402
124.76237;112.85889;589.3461
124.76799;112.88578;589.3442
124.77739;112.89877;589.33936
124.79515;112.92223;589.3388
124.81458;112.95018;589.34125
124.83046;112.95847;589.34686
124.8621;112.94574;589.35315
124.87781;112.93945;589.3587
124.80076;112.94298;589.362
124.7029;112.949295;589.3675
124.67222;112.98155;589.3787
124.71356;113.00323;589.389
124.808716;113.02254;589.39606
124.90506;113.039276;589.4055
124.91867;113.03744;589.4185
124.909515;113.03515;589.4319
124.93758;113.053314;589.4481
124.96983;113.06643;589.4628
124.930305;113.07613;589.4753
124.854065;113.07504;589.4932
124.82531;113.09385;589.51154
124.84562;113.10122;589.52734
124.83301;113.10472;589.54565
124.85144;113.11418;589.5667
124.93347;113.10958;589.5864
124.97358;113.11605;589.6053
124.977684;113.126274;589.625
124.95842;113.13812;589.643
124.93431;113.15772;589.66254
124.917435;113.174416;589.68335
124.923065;113.180374;589.70233
124.94688;113.17341;589.7235
124.976845;113.16499;589.74304
124.97935;113.15207;589.763
124.955696;113.17103;589.7809
124.86927;113.18356;589.7982
124.81048;113.19017;589.81775
124.84931;113.19482;589.83466
124.895256;113.185875;589.85236
124.939415;113.17002;589.8699
124.96726;113.17615;589.8849
124.95842;113.193794;589.90247
124.94671;113.239075;589.9197
124.93133;113.26406;589.934
124.917076;113.25878;589.9466
124.87862;113.23504;589.9586
124.82666;113.22169;589.9696
124.881546;113.22576;589.98206
124.93317;113.22188;589.99316
124.962685;113.216324;590.00336
124.93763;113.20776;590.01447
124.87361;113.19103;590.02606
124.84948;113.185074;590.03613
124.91977;113.17646;590.041
124.9505;113.15677;590.0484
124.902054;113.13831;590.0544
124.868416;113.12089;590.05994
124.86052;113.11612;590.06555
124.854416;113.10672;590.07294
124.8502;113.09228;590.07697
124.82126;113.07613;590.08185
124.77433;113.07268;590.0855
124.77598;113.06028;590.0873
124.79374;113.02847;590.08936
124.796364;112.98415;590.09314
124.792;112.9636;590.0982
124.780205;112.9486;590.09906
124.7739;112.94107;590.09924
124.76901;112.91029;590.10034
124.77949;112.89744;590.10333
124.829094;112.88156;590.1016
124.84536;112.85257;590.0989
124.798935;112.827126;590.0982
124.71168;112.812325;590.0966
124.6386;112.80291;590.096
124.633095;112.806076;590.0966
124.59764;112.797325;590.09845
124.58961;112.784805;590.0951
124.64897;112.771416;590.09454
124.7183;112.75556;590.097
124.75812;112.72838;590.09296
124.80466;112.70633;590.0917
124.79088;112.68189;590.09296
124.69883;112.6693;590.09235
124.61825;112.66999;590.0868
124.63424;112.66603;590.08307
124.684685;112.65728;590.0808
124.70243;112.65497;590.0774
124.678246;112.6478;590.07654
124.653694;112.63196;590.0756
124.62835;112.61389;590.07544
124.62954;112.623924;590.07697
124.68989;112.62755;590.07587
124.70464;112.62786;590.0754
124.68872;112.62004;590.0729
124.67923;112.6162;590.0674
124.68123;112.60979;590.0664
124.67201;112.60853;590.06696
124.66542;112.607216;590.0661
124.69208;112.61084;590.0662
124.68865;112.59732;590.07135
124.67312;112.582825;590.0739
124.66368;112.58416;590.07416
124.63402;112.580345;590.072
124.63569;112.57707;590.0696
124.6788;112.58018;590.07056
124.7034;112.586235;590.0678
124.694984;112.57348;590.06836
124.69692;112.57062;590.0679
124.67928;112.56389;590.0698
124.60589;112.56328;590.07074
124.535194;112.575935;590.0712
124.55384;112.5838;590.06995
124.672386;112.583084;590.07043
124.691765;112.58251;590.07245
124.66912;112.57777;590.07623
124.7004;112.58886;590.07947
124.67899;112.61849;590.0784
124.67193;112.629715;590.0792
124.67162;112.61153;590.0814
124.70386;112.61496;590.0821
124.71142;112.61708;590.0853
124.72228;112.62021;590.0833
124.724075;112.62188;590.082
124.711624;112.621994;590.0835
124.70441;112.62922;590.08203
124.68681;112.63079;590.083
124.71687;112.630646;590.0854
124.6805;112.62619;590.0862
124.66955;112.622185;590.0856
124.68143;112.60449;590.08594
124.68986;112.59692;590.0868
124.70912;112.60807;590.0855
124.72491;112.614655;590.0913
124.771095;112.63339;590.0953
124.76656;112.63945;590.0849
124.705;112.64879;590.08246
124.64817;112.66842;590.07904
124.6706;112.66188;590.07654
124.73209;112.66253;590.0731
124.78623;112.66043;590.0769
124.807945;112.65674;590.07416
124.746895;112.6707;590.076
124.666565;112.67123;590.06537
124.65539;112.66498;590.0606
124.726814;112.67096;590.05853
124.74214;112.66605;590.05804
124.74451;112.65711;590.0579
124.75037;112.65073;590.0606
124.74492;112.644424;590.06195
124.75669;112.66493;590.0568
124.75418;112.66279;590.0525
124.75531;112.66083;590.0495
124.74277;112.65611;590.0471
124.72717;112.6441;590.0469
124.7169;112.637634;590.0461
124.69359;112.62261;590.0441
124.700874;112.63041;590.0425
124.725845;112.62379;590.04333
124.75614;112.62254;590.04517
124.756805;112.62941;590.0437
124.753975;112.64405;590.0415
124.7307;112.65287;590.04297
124.716515;112.64836;590.04376
124.68492;112.646;590.0461
124.73606;112.64174;590.0477
124.77664;112.64007;590.04736
124.72384;112.63732;590.0455
124.66166;112.62673;590.048
124.68337;112.636444;590.04877
124.73986;112.63592;590.0492
124.80814;112.63432;590.0516
124.85907;112.64007;590.0514
124.80762;112.63866;590.05286
124.74856;112.63446;590.0589
124.74499;112.63375;590.0558
124.72627;112.620995;590.0563
124.7261;112.61913;590.06036
124.73533;112.63184;590.0621
124.76406;112.62225;590.06506
124.7543;112.59751;590.0681
124.76716;112.59663;590.06885
124.75776;112.59225;590.0703
124.7303;112.589714;590.07086
124.71602;112.58559;590.0733
124.72748;112.56983;590.0764
124.72026;112.561554;590.07605
124.717514;112.54904;590.07947
124.72366;112.53347;590.0814
124.713585;112.53399;590.083
124.6876;112.53242;590.087
124.645805;112.525215;590.0892
124.63055;112.52415;590.0907
124.66757;112.52985;590.09326
124.68126;112.52932;590.0947
124.6932;112.52589;590.0963
124.71628;112.52425;590.0976
124.72772;112.52496;590.1012
124.68962;112.521454;590.10114
124.62511;112.52033;590.103
124.56281;112.509605;590.1057
124.59681;112.51688;590.10736
124.62802;112.52415;590.1093
124.668594;112.52682;590.11206
124.67732;112.531395;590.11365
124.69801;112.53244;590.1149
124.70996;112.53855;590.11615
124.713776;112.528915;590.1181
124.689026;112.50999;590.1196
124.68445;112.52105;590.12115
124.71013;112.54317;590.1202
124.71471;112.547424;590.1173
124.7205;112.55066;590.1158
124.70936;112.54947;590.1169
124.69515;112.53712;590.1187
124.68044;112.52859;590.1216
124.69756;112.53225;590.12134
124.70512;112.508766;590.1228
124.65624;112.48845;590.1189
124.62029;112.49361;590.1183
124.63653;112.50054;590.11237
124.66183;112.495705;590.11597
124.67558;112.49235;590.1156
124.68102;112.4886;590.1108
124.68383;112.50078;590.1076
124.66072;112.51192;590.1052
124.606125;112.5174;590.10693
124.63808;112.51837;590.1099
124.69003;112.51239;590.10443
124.719215;112.50994;590.09924
124.72937;112.505974;590.0957
124.68545;112.50579;590.0953
124.63288;112.50219;590.0961
124.61547;112.49606;590.0954
124.639244;112.501305;590.092
124.63157;112.52062;590.0938
124.64373;112.52496;590.0879
124.67053;112.515205;590.08496
124.73395;112.504265;590.0812
124.76909;112.4953;590.0805
124.73356;112.49349;590.08203
124.65214;112.48547;590.0784
124.56297;112.48777;590.08435
124.57952;112.48853;590.0868
124.669334;112.48969;590.08014
124.68865;112.47334;590.07654
124.70173;112.471985;590.07056
124.70105;112.4869;590.0613
124.64192;112.48621;590.0594
124.56863;112.489914;590.06085
124.56336;112.495804;590.05835
124.64008;112.497375;590.0566
124.72569;112.48354;590.0499
124.73757;112.48021;590.04865
124.72079;112.48431;590.0479
124.70689;112.48976;590.04517
124.67484;112.515015;590.03827
124.618454;112.5236;590.0363
124.6058;112.51745;590.0369
124.648544;112.51459;590.03
124.7338;112.51919;590.0276
124.74155;112.515305;590.0243
124.735466;112.503334;590.01917
124.7447;112.50963;590.0176
124.70278;112.52908;590.0184
124.66792;112.54618;590.0165
124.62273;112.558784;590.0148
124.62492;112.56444;590.01465
124.68209;112.546196;590.0112
124.67841;112.53852;590.0095
124.66857;112.548225;590.0025
124.65422;112.5456;589.9962
124.68771;112.53845;589.99384
124.71234;112.54369;589.99243
